scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
septic_shock,lactate_clearance_factor,metabolism,1.0167,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,1.0167,lactate_peak,1.518,1.518,0.0
septic_shock,lactate_clearance_factor,metabolism,1.0167,rescue_margin,0.996,0.996,0.0
septic_shock,lactate_clearance_factor,metabolism,1.1583,spo2_nadir,96.22,96.22,0.0
septic_shock,lactate_clearance_factor,metabolism,1.1583,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,1.1583,lactate_peak,1.516,1.518,-0.002
septic_shock,lactate_clearance_factor,metabolism,1.1583,rescue_margin,0.996,0.996,0.0
septic_shock,lactate_clearance_factor,metabolism,1.3,spo2_nadir,96.22,96.22,0.0
septic_shock,lactate_clearance_factor,metabolism,1.3,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,1.3,lactate_peak,1.514,1.518,-0.004
septic_shock,lactate_clearance_factor,metabolism,1.3,rescue_margin,0.996,0.996,0.0
anaphylaxis,preload_factor,hemodynamics,0.65,spo2_nadir,95.365,96.1,-0.735
anaphylaxis,preload_factor,hemodynamics,0.65,map_nadir,43.642,51.8,-8.158
anaphylaxis,preload_factor,hemodynamics,0.65,lactate_peak,2.284,1.721,0.563
anaphylaxis,preload_factor,hemodynamics,0.65,rescue_margin,0.796,0.942,-0.146
anaphylaxis,preload_factor,hemodynamics,0.75,spo2_nadir,95.575,96.1,-0.525
anaphylaxis,preload_factor,hemodynamics,0.75,map_nadir,45.972,51.8,-5.828
anaphylaxis,preload_factor,hemodynamics,0.75,lactate_peak,2.123,1.721,0.402
anaphylaxis,preload_factor,hemodynamics,0.75,rescue_margin,0.838,0.942,-0.104
anaphylaxis,preload_factor,hemodynamics,0.85,spo2_nadir,95.785,96.1,-0.315
anaphylaxis,preload_factor,hemodynamics,0.85,map_nadir,48.303,51.8,-3.497
anaphylaxis,preload_factor,hemodynamics,0.85,lactate_peak,1.962,1.721,0.241
anaphylaxis,preload_factor,hemodynamics,0.85,rescue_margin,0.879,0.942,-0.063
anaphylaxis,preload_factor,hemodynamics,0.95,spo2_nadir,95.995,96.1,-0.105
anaphylaxis,preload_factor,hemodynamics,0.95,map_nadir,50.634,51.8,-1.166
anaphylaxis,preload_factor,hemodynamics,0.95,lactate_peak,1.801,1.721,0.08
anaphylaxis,preload_factor,hemodynamics,0.95,rescue_margin,0.921,0.942,-0.021
anaphylaxis,preload_factor,hemodynamics,1.05,spo2_nadir,96.205,96.1,0.105
anaphylaxis,preload_factor,hemodynamics,1.05,map_nadir,52.965,51.8,1.165
anaphylaxis,preload_factor,hemodynamics,1.05,lactate_peak,1.64,1.721,-0.081
anaphylaxis,preload_factor,hemodynamics,1.05,rescue_margin,0.963,0.942,0.021
anaphylaxis,preload_factor,hemodynamics,1.15,spo2_nadir,96.415,96.1,0.315
anaphylaxis,preload_factor,hemodynamics,1.15,map_nadir,55.296,51.8,3.496
anaphylaxis,preload_factor,hemodynamics,1.15,lactate_peak,1.5,1.721,-0.221
anaphylaxis,preload_factor,hemodynamics,1.15,rescue_margin,1.0,0.942,0.058
anaphylaxis,preload_factor,hemodynamics,1.25,spo2_nadir,96.625,96.1,0.525
anaphylaxis,preload_factor,hemodynamics,1.25,map_nadir,57.627,51.8,5.827
anaphylaxis,preload_factor,hemodynamics,1.25,lactate_peak,1.5,1.721,-0.221
anaphylaxis,preload_factor,hemodynamics,1.25,rescue_margin,1.0,0.942,0.058
anaphylaxis,svr_factor,hemodynamics,0.55,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,0.55,map_nadir,45.972,51.8,-5.828
anaphylaxis,svr_factor,hemodynamics,0.55,lactate_peak,2.123,1.721,0.402
anaphylaxis,svr_factor,hemodynamics,0.55,rescue_margin,0.838,0.942,-0.104
anaphylaxis,svr_factor,hemodynamics,0.7,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,0.7,map_nadir,47.915,51.8,-3.885
anaphylaxis,svr_factor,hemodynamics,0.7,lactate_peak,1.989,1.721,0.268
anaphylaxis,svr_factor,hemodynamics,0.7,rescue_margin,0.872,0.942,-0.07
anaphylaxis,svr_factor,hemodynamics,0.85,spo2_nadir,96.1,96.1,0.0
anaphylaxis,svr_factor,hemodynamics,0.85,map_nadir,49.858,51.8,-1.942
