scenario,variable,module,kind,min,max,final,hard_low,hard_high,expected_low,expected_high,status,run_error
picu_insulin_stress_hyperglycemia_v1_16,bronchodilator_HR_mod,Step4 integrated airway/pharmacology/monitoring modules,mod,1.0,1.0,1.0,0.5,2.0,0.8,1.4,PASS,
picu_insulin_stress_hyperglycemia_v1_16,cuff_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,dexmedetomidine_bradycardia_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,dexmedetomidine_hypotension_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,diuretic_hypovolemia_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,effective_external_PEEP_cmH2O,Step4 integrated airway/pharmacology/monitoring modules,modifier,6.0,6.0,6.0,0.0,60.0,0.0,25.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,furosemide_effective_diuretic_signal,Step4 integrated airway/pharmacology/monitoring modules,signal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,ino_rebound_risk_signal,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,insulin_effective_potassium_shift_mmol_L_h,Step4 integrated airway/pharmacology/monitoring modules,modifier,0.0,0.36068763083570565,0.36068763083570565,0.0,20.0,0.0,5.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,ketamine_hemodynamic_support_signal,Step4 integrated airway/pharmacology/monitoring modules,mod,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,laryngospasm_score,Step4 integrated airway/pharmacology/monitoring modules,score,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,mask_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,0.28,0.28,0.28,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,mouth_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,0.25,0.25,0.25,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,sedative_drive_depression_signal,Step4 integrated airway/pharmacology/monitoring modules,signal,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,steroid_delayed_effect_signal,Step4 integrated airway/pharmacology/monitoring modules,signal,0.0,0.024426075550749986,0.024426075550749986,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,tube_VdVt_add,Step4 integrated airway/pharmacology/monitoring modules,modifier,0.025612507256850235,0.035955193381746804,0.025630193143324206,0.0,1.0,0.0,0.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,tube_obstruction_score,Step4 integrated airway/pharmacology/monitoring modules,score,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,upper_airway_obstruction_score,Step4 integrated airway/pharmacology/monitoring modules,score,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vasoactive_CO_mod,Step4 integrated airway/pharmacology/monitoring modules,mod,1.0,1.0,1.0,0.1,5.0,0.5,3.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vasoactive_SVR_mod,Step4 integrated airway/pharmacology/monitoring modules,mod,0.9675226971558953,1.0,1.0,0.1,5.0,0.5,3.0,PASS,
